timestamp,score
04:09:33,46
04:09:33,46
04:09:33,46
04:09:33,47
04:09:33,47
04:09:33,47
04:09:33,45
04:09:33,52
04:09:33,60
04:09:34,60
04:09:34,57
04:09:34,51
04:09:34,49
04:09:34,48
04:09:34,45
04:09:34,48
04:09:34,50
04:09:34,51
04:09:34,51
04:09:35,51
04:09:35,50
04:09:35,50
04:09:35,49
04:09:35,48
04:09:35,48
04:09:35,48
04:09:35,47
04:09:35,47
04:09:35,47
04:09:36,45
04:09:36,51
04:09:36,44
04:09:36,45
04:09:36,38
04:09:36,37
04:09:36,37
04:09:36,36
04:09:36,37
04:09:36,37
04:09:37,36
04:09:37,38
04:09:37,40
04:09:37,47
04:09:37,50
04:09:37,67
04:09:37,68
04:09:37,72
04:09:37,60
04:09:37,63
04:09:38,70
04:09:38,78
04:09:38,81
04:09:38,85
04:09:38,86
04:09:38,87
04:09:38,89
04:09:38,90
04:09:38,90
04:09:38,90
04:09:39,90
04:09:39,90
04:09:39,90
04:09:39,90
04:09:39,91
04:09:39,91
04:09:39,91
04:09:39,91
04:09:39,91
04:09:39,91
04:09:40,91
04:09:40,91
04:09:40,91
